Year,Composer,Lyricist,Song,Lyrics
2011,عمرو طنطاوي,تامر حسين,ما أقدرش أنا,"مقدرش أنا على اللي عيني شايفاه ومجاش في بالي
الرقه دي آه يا سحر عنيه حاجه فوق خيالي
مقدرش أنا على اللي عيني شايفاه ومجاش في بالي
الرقه دي آه يا سحر عنيه حاجه فوق خيالي

ده اللي حلمت يكون عشاني
مش عايز حد تاني
إتعلقت في ثواني بحبيبي
ياما صادفني قلوب كتيرة
ولا جرب قلبي حيرة
سلمت في يوم وليلة لحبيبي

أعمل في إيه، غيرتي خوفي عليه دايماً يزيدوا
أمال بقي لو صارحت عنيه ولمست إيده

مطرح ما أروح خياله يجي ويروح قدام عيوني
جربت أنا لهفة العشاق عنها إسألوني
مطرح ما أروح خياله يجي ويروح قدام عيوني
جربت أنا لهفة العشاق عنها إسألوني

ده اللي حلمت يكون عشاني
مش عايز حد تاني
اتعلقت في ثواني بحبيبي
ياما صادفني قلوب كتيره
ولا جرب قلبي حيره
سلمت في يوم وليلة لحبيبي
"
2011,عمرو دياب,أيمن بهجت قمر,ألومك ليه,"ألومك ليه؟ حبيبي أنا أولى ألوم روحي ولا أعذرها
وعارف ليه، عشان قدام عينيا حقيقة بنكرها
عينيك تايهين، إيديك دي كإني آخر مرة همسكها
أساساً مين بقى يهتم بالحاجة أما يملكها

ويا خسارة ما حدش فينا نفذ وعد
يا خسارة ما حدش فينا خاف من البعد
يا خسارة ما حدش فينا نفذ وعد
ما حدش فينا خاف من البعد
ومش حاسين بقيمة بعض
يا خسارة
حلال يا عمري ولا حرام؟
بنتغير مع الأيام
بقينا إتنين غراب عن بعض

بإيدك إيه وأنا بإيديا إيه
قولي وأنا أتحمل
هقولك إيه، أكيد إنت وأنا كان نفسنا نكمل
دا بينا كتير حاجات حلوة هتتحول خلاص ذكرى
ويمكن خير، ما حدش داري إيه مكتوبلنا بكرة

ويا خسارة ما حدش فينا نفذ وعد
يا خسارة ما حدش فينا خاف من البعد
يا خسارة ما حدش فينا نفذ وعد
ما حدش فينا خاف من البعد
ومش حاسين بقيمة بعض
يا خسارة
حلال يا عمري ولا حرام؟
بنتغير مع الأيام
بقينا إتنين غراب عن بعض
"
2011,أحمد صلاح حسني,أمير طعيمة,معاك برتاح,"أنا معاك برتاح
أنا معاك برتاح
أنا معاك برتاح

أنا معاك برتاح
بنسى كل اللي عدا وراح
وألقى جنبك حياتي براح
وألقى روحي هنا
أنا معاك برتاح
يا اللي خليتني أحب وأعيش
دنيا أجمل منها مفيش
غير حبيبي أنا

أنا معاك برتاح
بنسى كل اللي عدا وراح
وألقى جنبك حياتي براح
وألقى روحي هنا
أنا معاك برتاح
يا اللي خليتني أحب وأعيش
دنيا أجمل منها مفيش
غير حبيبي أنا

أنا معاك برتاح
وخدت بالك أكيد
لو عني تبقى بعيد
أنا مبقاش أنا
هو في إحساس
بالحبايب كدة
لو عيني مغمضة
والله شايفاك أنا
أنا معاك برتاح
بنسى كل اللي عدا وراح
وألقى جنبك حياتي براح
وألقى روحي هنا
أنا معاك برتاح
يا اللي خليتني أحب وأعيش
دنيا أجمل منها مفيش
غير حبيبي أنا"
2011,عمرو دياب,بهاء الدين محمد,ياريت سنك,"ياريت سنك يزيد سنتين
عشان سنك كدة صغير
يزيد لكن في تكوينك
مفيش ولا حاجة تتغير
ياريت سنك يزيد سنتين
عشان سنك كدة صغير
يزيد لكن في تكوينك
مفيش ولا حاجة تتغير

قوامك هو هو يكون
ولونك يبقى نفس اللون
عيونك لسة بتفتح ومن دلوقتي بتحير

ياريت سنك يزيد سنتين
عشان سنك كدة صغير
يزيد لكن في تكوينك
مفيش ولا حاجة تتغير

ياروح روحي على الخطوة اللي شايلاكي
ياروح روحي على الريشة اللي رسماكي
يانور قلبك يانور طيب
لمسني لمسة شبعني
أنا لو بس مش طيب
مفيش ولا حاجة تمنعني
أنا لو بس مش طيب
مفيش ولا حاجة تمنعني
بكل براءة بتشاوريلي خد بالك
و أنا شايفك وواخدة قلبي بجمالك
عليكي طلة ما شاء الله
كإنك نجمة مشهورة
و أنا من كتر إعجابي
بعيني خدت لك صورة
أنا من كتر إعجابي
بعيني خدت لك صورة


قوامك هو هو يكون
ولونك يبقى نفس اللون
عيونك لسة بتفتح ومن دلوقتي بتحير

ياريت سنك يزيد سنتين
عشان سنك كدة صغير
يزيد لكن في تكوينك
مفيش ولا حاجة تتغير

ياريت سنك يزيد سنتين
عشان سنك كدة صغير
يزيد لكن في تكوينك
مفيش ولا حاجة تتغير
"
2011,عمرو دياب,تامر حسين,مالي عينيا,"حبيبي مالي عينيا وبلاقي راحتي معاه
الدنيا من حواليا إتغيرت بلقاه
حبيبي مالي عينيا وبلاقي راحتي معاه
دة أنا مهما أشوف حواليا هو اللي بتمناه

حنيته ورقته مش موجودين في الناس
وشوقه ليا ولهفته في منتهى الإحساس
أقول لمين وأعيد لمين
دي براءة مش طبيعية

حبيبي مالي عينيا وبلاقي راحتي معاه
الدنيا من حواليا إتغيرت بلقاه


أمنيتي في دنيتي لو عمري يكمل بيه
بقى هو سر فرحتي هو الي عايش بيه
ما أقدرش لا يا قلبي لا يغيب عليا شوية

حبيبي مالي عينيا وبلاقي راحتي معاه
الدنيا من حواليا إتغيرت بلقاه
حبيبي مالي عينيا وبلاقي راحتي معاه
دة أنا مهما أشوف حواليا هو اللي بتمناه
"
2011,عمرو دياب,مجدي النجار,هي حياتي,"هي، هي حياتي وروحي هي
أجمل حاجة في عمري دايماً هي
هي، هي أكيد مش واحدة عادية
وأنا حبيتها بقلبي بكل ما فيا

الإحساس أجمل إحساس
بالنسبالي أعز الناس
وأنا وياها عرفت أعيش
ومن دلوقتي بقولها خلاص

أنا مقدرش أعيش من غيرها
أنا حبيت مبحبش غيرها
جنتي هي مش مع غيرها
من دلوقتي بقولها خلاص
أنا مقدرش أعيش من غيرها
أنا حبيت مبحبش غيرها
جنتي هي مش مع غيرها

هي اللي بتملى الدنيا عليا
واللي بتفضل جنبي على طول هي
هي هي هي
هي أجمل حلم برئ في عينيا
زي الموج عيونه والله شقيه

الإحساس أجمل إحساس
بالنسبالي أعز الناس
وأنا وياها عرفت أعيش
ومن دلوقتي بقولها خلاص


أنا مقدرش أعيش من غيرها
أنا حبيت مبحبش غيرها
جنتي هي مش مع غيرها
من دلوقتي بقولها خلاص
أنا مقدرش أعيش من غيرها
أنا حبيت مبحبش غيرها
جنتي هي مش مع غيرها
من دلوقتي بقولها خلاص


الإحساس أجمل إحساس
بالنسبالي أعز الناس
وأنا وياها عرفت أعيش
ومن دلوقتي بقولها خلاص


أنا مقدرش أعيش من غيرها
أنا حبيت مبحبش غيرها
جنتي هي مش مع غيرها
من دلوقتي بقولها خلاص
أنا مقدرش أعيش من غيرها
أنا حبيت مبحبش غيرها
جنتي هي مش مع غيرها
من دلوقتي بقولها خلاص
أنا مقدرش أعيش من غيرها
أنا حبيت مبحبش غيرها
جنتي هي مش مع غيرها
من دلوقتي بقولها خلاص"
2011,عمرو دياب,تامر حسين,يوم ما إتقابلنا,"يوم ما إتقبلنا اليوم دا هفضل مش ناسيه
أنا إنكتبلي أحلى قصة حب فيه
أول مشاعر حلوة قلبي حسها
ولهفتي لمعاد أقابلك بعدها

أنا بوعدك من الليلة دي هفضل معاك
وهعمل اللي يريحك وهخاف عليك
أنا بوعدك يا حبيبي يا أجمل ملاك
لو عوزت نجمة من السما هجيبها ليك

كلمة بحبك اللي في عينيك قولتها
وفرحت اللي إستنى يسمع ردها
أنا حتى فاكر إتقابلنا إزاي وفين
وأول كلمة بينا وسلام الإيدين

أنا بوعدك من الليلة دي هفضل معاك
وهعمل اللي يريحك وهخاف عليك
أنا بوعدك يا حبيبي يا أجمل ملاك
لو عوزت نجمة من السما هجيبها ليك
أنا بوعدك من الليلة دي هفضل معاك
وهعمل اللي يريحك وهخاف عليك
أنا بوعدك يا حبيبي يا أجمل ملاك
لو عوزت نجمة من السما هجيبها ليك
لو عوزت نجمة من السما هجيبها ليك
"
2011,عادل حقي,مجدي النجار,أغلى من عمري,"شوفت كتير حواليا ما شوفتش إلا عينيك، أيوة عينيك
كل ما تيجي في عينيا بقرب أكتر ليك
تبعد عني أنا غصب عني بفكر فيك
ترجع ليا حبيبي بغمض عيني عليك

ياما ليالي وإنت يا غالي
ياما ليالي دايماً في بالي
ياما ليالي شاغل خيالي وماسبتنيش

دة حبيبي
حبيبي أغلى من عمري
والله اغلى من عمري
وحياتي كلها ليه
دة حبيبي
حبيبي قولتها بقلبي
دوا روحي حتة من قلبي
ولا يحلى عمري غير بيه

إنت في قلبي
ودايماً قلبي بيجري عليك، أيوة عليك
أول ما أسمع صوتك بنسى الدنيا معاك
ما إتخيلتش فرحة قلبي لما ألاقيك، أيوة ألاقيك
وما صدقتش غير دلوقتي وأنا وياه
ياما ليالي وإنت يا غالي
ياما ليالي دايماً في بالي
ياما ليالي شاغل خيالي وماسبتنيش

دة حبيبي
حبيبي أغلى من عمري
والله اغلى من عمري
وحياتي كلها ليه
دة حبيبي
حبيبي قولتها بقلبي
دوا روحي حتة من قلبي
ولا يحلى عمري غير بيه

حبيبي أغلى من عمري
والله اغلى من عمري
وحياتي كلها ليه

دا حبيبي
حبيبي قولتها بقلبي
دوا روحي حتة من قلبي
ولا يحلى عمري غير بيه
دا حبيبي
حبيبي أغلى من عمري
والله اغلى من عمري
وحياتي كلها ليه
دا حبيبي
حبيبي قولتها بقلبي
دوا روحي حتة من قلبي
ولا يحلى عمري غير بيه
"
2011,عمرو دياب,أيمن بهجت قمر,عارف حبيبي,"عارف حبيبى اللي زود في الخلاف
بقيت بلاقي بيننا مليون إختلاف
أنا كل ما أعمل حاجة بينا تقربك
مبقتش ألاقى حاجة واحدة بتعجبك

وأما أسألك بتحبني وتقولي آه
مبقتش قادر أصدقك وبقيت بخاف

نفس إللي إتنين إللي إتفقوا وما بينهم وعد
خايف بإيديهم يتفارقوا ويموتوا بعض
لا بقيت تسمعني وتفهمني ولا حاسس بيا
وكأني عدوك وسعادتك في عذابك ليا

وأما أسألك بتحبني وتقولي آه
مبقتش قادر أصدقك وبقيت بخاف
هو إحنا مالنا وإيه جرالنا وليه كدة
هو إحنا مالنا وليه وصلنا لكل دة


هو إحنا مالنا وإيه جرالنا وليه كدة
هو إحنا مالنا وليه وصلنا لكل دة
هو إحنا مالنا وإيه جرالنا وليه كدة
هو إحنا مالنا وليه وصلنا لكل دة
هو إحنا مالنا وإيه جرالنا وليه كدة
هو إحنا مالنا وليه وصلنا لكل دة
هو إحنا مالنا وإيه جرالنا وليه كدة"
2011,عمرو دياب,مجدي النجار,تجربة وعدت,"تجربة وعدت
تجربة وعدت

تجربة وعدت
وإتعدت من ضمن تجاربي
ورجوعها مبقاش بالساهل
تجربة وعدت
وأنا قلت وبتكلم عربي
بالعربي ما حدش يستاهل

تجربة وعدت

تجربة وعدت
وإتعدت من ضمن تجاربي
ورجوعها مبقاش بالساهل
تجربة وعدت
وأنا قلت وبتكلم عربي
بالعربي محدش يستاهل

تجربة وعدت
ما ندمتش أبداً
ولا هندم على حد خدعني
ما هو لازم علشان أتعلم كان هي تبيعني

تجربة وعدت

تجربة وعدت
وإتعدت من ضمن تجاربي
ورجوعها مبقاش بالساهل
تجربة وعدت
وأنا قلت وبتكلم عربي
بالعربي محدش يستاهل

تجربة وعدت

مش هفضل عايش بتألم
على جرحي هعدي
ما أنا لازم أخطي وأتقدم وما أقفش لوحدي

تجربة وعدت
تجربة وعدت
وإتعدت من ضمن تجاربي
ورجوعها مبقاش بالساهل
تجربة وعدت
وأنا قلت وبتكلم عربي
بالعربي محدش يستاهل


بالعربي ما حدش يستاهل
تجربة وعدت

تجربة وعدت
وإتعدت من ضمن تجاربي
ورجوعها مبقاش بالساهل
تجربة وعدت
وأنا قلت وبتكلم عربي
بالعربي محدش يستاهل"
2010,عمرو دياب,مجدي النجار,أصلها بتفرق,"قدري إختارلي أكون ليها
وأنا سلمت وقلبي إختار
شفت الجنة في عينيها
إزاي أسيبها وأعيش في النار

أصلها بتفرق في حياتك واحدة
من أول ما تعيش وياها
تلقاها معاك مالهاش بديل
أصلها بتفرق وأنا عاشق واحدة
وبحب ودايب في هواها
وعيونها في ليل الغربة دليل
حبها في قلبي ودي أجمل واحدة
ما لقيتش جمالها في ولا واحدة، والله مالهاش بديل

أصلها بتفرق في الشوق والوحدة
في حياتي وهي هنا معايا، الدنيا بحالها ما بتساعنيش
أصلها بتفرق وأنا روحي في واحدة
وبفكر ليل ونهار فيها والشوق بيزيد ما بينتهيش
حبها في قلبي ودي أجمل واحدة
ما لقيتش جمالها في ولا واحدة، والله مالهاش بديل

أصلها بتفرق في حياتك واحدة
من أول ما تعيش وياها
تلقاها معاك مالهاش بديل
أصلها بتفرق وأنا عاشق واحدة
وبحب ودايب في هواها
وعيونها في ليل الغربة دليل
أصلها بتفرق من واحدة لواحدة
في واحدة بتنساها بواحدة
وواحدة ما بتتنسيش"
2020,عمرو مصطفى,تامر حسين,جامدة بس,"حكولي عنها كتير
قالوا جمالها خيال
وأما قابلتها غير
دي حاجة ولا عالبال

لا دي جامدة جامدة جامدة بس
إيه دا كله إيه دا أهدى ليه
أيوة جامدة جامدة جامدة بس
بص شوف يا قلبي عاملة إيه
لا دي جامدة جامدة جامدة بس
إيه دا كله إيه دا أهدى ليه
أيوة جامدة جامدة جامدة بس
بص شوف يا قلبي عاملة إيه

شفت كتير وقليل
بس دي بالتحديد
عندها كدا تفاصيل خلت ناري تقيد

لا دي جامدة جامدة جامدة بس
إيه دا كله إيه دا أهدى ليه
أيوة جامدة جامدة جامدة بس
بص شوف يا قلبي عاملة إيه
لا دي جامدة جامدة جامدة بس
إيه دا كله إيه دا أهدى ليه
أيوة جامدة جامدة جامدة بس
بص شوف يا قلبي عاملة إيه

لا دي جامدة جامدة جامدة بس
إيه دا كله إيه دا أهدى ليه
أيوة جامدة جامدة جامدة بس
بص شوف يا قلبي عاملة إيه
لا دي جامدة جامدة جامدة بس
إيه دا كله إيه دا أهدى ليه
أيوة جامدة جامدة جامدة بس
بص شوف يا قلبي عاملة إيه
لا دي جامدة جامدة جامدة بس
إيه دا كله إيه دا أهدى ليه
أيوة جامدة جامدة جامدة بس
بص شوف يا قلبي عاملة إيه
بص شوف يا قلبي عاملة إيه"
2020,عزيز الشافعي,تامر حسين,سهران,"وأنا قاعد سهران
سهران في مكان مع ناس حلوة، مع ناس حلوة
دخلت واحدة عملت قلبان
كلنا قمنا وقلنا مين الحلوة
وأنا قاعد سهران
سهران في مكان مع ناس حلوة، مع ناس حلوة
دخلت واحدة عملت قلبان
كلنا قمنا وقلنا مين الحلوة

من لون الفستان للكحل المرسوم على العين قلبتها جنان
ياه دي جايبة جمالها منين
بتقول بعيونها يا أرض إتهدي ما عليكي قدي
ودي تنفع غنوة وأنا قاعد سهران

أنا قاعد بنهار وبقول يانهار
على حلاوتها، على بصتها
جت حلتلي اليوم ولا يمكن أقوم
ده أنا حبيتها، أنا حبيتها

من لون الفستان للكحل المرسوم على العين قلبتها جنان
ياه دي جايبة جمالها منين
بتقول بعيونها يا أرض إتهدي ما عليكي قدي
ودي تنفع غنوة وأنا قاعد سهران

طب وأنا أجيبها إزاي
ده أنا رايح جاي وأنا بشاغلها وخدت بالها
تلات أربع مرات تبعت نظرات وإبتسمتلي وضحكتلها

من لون الفستان للكحل المرسوم على العين قلبتها جنان
ياه دي جايبة جمالها منين
بتقول بعيونها يا أرض إتهدي ما عليكي قدي
ودي تنفع غنوة وأنا قاعد سهران

ايه ده بتقول باي باي
لا تمشي إزاي
وإحنا لحقنا، إحنا لحقنا
وأستنى علشان مين
كلنا قايمين وإتعلقنا، إتعلقنا

من لون الفستان للكحل المرسوم على العين قلبتها جنان
يا دي جايبة جمالها منين
بتقول بعيونها يا أرض إتهدي ما عليكي قدي
ودي تنفع غنوة وأنا قاعد سهران

وأنا قاعد سهران
سهران في مكان مع ناس حلوة، مع ناس حلوة
دخلت واحدة عملت قلبان
كلنا قمنا وقلنا مين الحلوة
وأنا قاعد سهران
سهران في مكان مع ناس حلوة، مع ناس حلوة
دخلت واحدة عملت قلبان
كلنا قمنا وقلنا مين الحلوة"
2020,عمرو مصطفى,تامر حسين,هيعيش يفتكرني,"أنا قلت اللي ما حدش قاله
وعملت اللي ما حدش عمله
يفارقني أنا راضي وماله
بكرة هيعرف غلطة عمره

هيعيش يفتكرني وكل ما يقابل في بُعدي هيفتكرني
يتمنى بس إنه يقابلني
هيعيش يفتكرني وكل ما يقابل في بُعدي هيفتكرني
يتمنى بس إنه يقابلني

خليه يشوف بقى مين أبقاله
ده أنا ياما عملت حساب زعله
أنا بعد كلامه وأفعاله
ده لا يمكن حاجة هتشفعله

هيعيش يفتكرني وكل ما يقابل في بُعدي هيفتكرني
يتمنى بس إنه يقابلني
هيعيش يفتكرني وكل ما يقابل في بُعدي هيفتكرني
يتمنى بس إنه يقابلني

هيعيش يفتكرني وكل ما يقابل في بُعدي هيفتكرني
يتمنى بس إنه يقابلني
هيعيش يفتكرني وكل ما يقابل في بُعدي هيفتكرني
يتمنى بس إنه يقابلني"
2020,محمد يحيى,أيمن بهجت قمر,مهرجان,"ما بقاش يناسبك أزعل وأحسابك
إيه اللي غاصبك على العيشة دي واللي بقينا فيه
ما تشيلش همي موجود مرمي
ما تفوق ياعم أنا همشي أقول في الشارع هيه
ما بقاش يناسبك أزعل وأحسابك
إيه اللي غاصبك على العيشة دي واللي بقينا فيه
ما تشيلش همي موجود مرمي
ما تفوق ياعم أنا همشي أقول في الشارع هيه

أنا هعمل مهرجان مهرجان
وخلاص هنسى اللي كان مهما كان
وحكايتي معاك كان ياما كان
هتعيشها عليا ليه
أنا هعمل مهرجان مهرجان
وخلاص هنسى اللي كان مهما كان
وحكايتي معاك كان ياما كان
هتعيشها عليا ليه

إنت اللي زيك بجد حله بدل ده كله
السكة أهي وأدي الباب مفتوح
روح بالسلامة لا عليك ملامة
ولا ليك علامة والسهل زي ما جه بيروح
إنت اللي زيك بجد حله بدل ده كله
السكة أهي وأدي الباب مفتوح
روح بالسلامة لا عليك ملامة
ولا ليك علامة والسهل زي ما جه بيروح

أنا هعمل مهرجان مهرجان
وخلاص هنسى اللي كان مهما كان
وحكايتي معاك كان ياما كان
هتعيشها عليا ليه
أنا هعمل مهرجان مهرجان
وخلاص هنسى اللي كان مهما كان
وحكايتي معاك كان ياما كان
هتعيشها عليا ليه

أنا هعمل مهرجان مهرجان
وخلاص هنسى اللي كان مهما كان
وحكايتي معاك كان ياما كان
هتعيشها عليا ليه
أنا هعمل مهرجان مهرجان
وخلاص هنسى اللي كان مهما كان
وحكايتي معاك كان ياما كان
هتعيشها عليا ليه
أنا هعمل مهرجان مهرجان
وخلاص هنسى اللي كان مهما كان
وحكايتي معاك كان ياما كان
أنا هعمل مهرجان مهرجان
وخلاص هنسى اللي كان مهما كان
وحكايتي معاك كان ياما كان"
2020,عزيز الشافعي,عزيز الشافعي,بالضحكة دي,"بالضحكة دي قلبي متعلق
دي صورتها في دماغي بتعلق
لو أقول دي أحلى ما في الدنيا
مين بعد الجمال دا هيعلق
بالمشية دي كله يتعلم
أهي دي اللي على الكل هتعلم
لو أقول دي أحلى ما في الدنيا
مين بعد الجمال دا يتكلم

مظبوطة ظبطة ما فيهاش غلطة
ما فيهاش تلت التلاتة كام
مش بجاملها ولا بجملها
دي حاجة مش محتاجة كلام

والنظرة دي فيا بتأثر
ودا حلم عمري بيتفسر
لو أقول دي أحلى ما في الدنيا
مين دا اللي يعارضني هنهزر

مرسومة رسمة وعليها بسمة
تتفتح قصادها الببان
وبتتهاتا كله إلا دا
أنا مش قد دلعها كمان

والنظرة دي فيا بتأثر
ودا حلم عمري بيتفسر
لو أقول دي أحلي ما في الدنيا
مين دا اللي يعارضني هنهزر"
2020,عمرو دياب,صابر كمال,عم الطبيب,"عم الطبيب، جنبي الشمال ده بتجيله شكة
من حالي طول الليل بتشكى
عرى وكشف شاف الهموم
بص بأسف وقالي قوم
ما تروحش يا بني لطبيب يطبك
إنت علاجك حبيب يحبك
ما تروحش يا إبني لطبيب يطبك
إنت علاجك حبيب يحبك
عم الطبيب، جنبي الشمال ده بتجيله شكة
من حالي طول الليل بتشكى
عرى وكشف شاف الهموم
بص بأسف وقالي قوم
ما تروحش يا بني لطبيب يطبك
إنت علاجك حبيب يحبك
ما تروحش يا إبني لطبيب يطبك
إنت علاجك حبيب يحبك

عم العطار إعملي من عندك تحبيشة
أحلي بيها مرار العيشة
بص وسأل فين يوجعك
فرح وزعل مين يسمعك
أنا قلت بلوتي في الكتمان
قالي دواها صحاب جدعان
أنا قلت بلوتي في الكتمان
قالي دواها صحاب جدعان

شيخ العرب أديني مدة دايخ مدوخ
هات الخلاصة أنا وضعي بوخ
قالي دواك وبلاش تقاطع عند العجيب أبو سر باتع
قالي دواك وبلاش تقاطع عند العجيب أبو سر باتع
أنا قلت إيه؟ قالي يا متعوس كل العلل دواها الفلوس
أنا قلت إيه؟ قالي يا متعوس كل العلل دواها الفلوس
يا طول غلبي يا طول توهتي يا آهة جديدة على آهتي
دواك لاذذ ونفسي أدوق لكن عازز ومش في السوق"
2020,شريف بدر,تامر حسين,مكانك في قلبي,"مكانك في قلبي مهما كنت بعيد عليا
ومش كل يوم بنقابل حبايب جداد
صوتك واحشني وضحكتك يا حبيبي ليا
ياما نفسي أشوفك تاني في أقرب معاد

ما قدرتش أنساك والليالي
كل ما تفوت الليالي كل ما أشتاق يا حبيبي وأقول
أيامنا واحشاك ولا ناسي
يا اللي إنت من غيرك بقاسي
كان نفسي أعيش عمري معاك على طول
ما قدرتش أنساك والليالي
كل ما تفوت الليالي كل ما أشتاق يا حبيبي وأقول
أيامنا واحشاك ولا ناسي
يا اللي إنت من غيرك بقاسي
ما كنتش أتخيل فراقنا يطول

ما حدش هيعرف يملى أي مكان تسيبه
وعايش حياتي في بعدك على الذكريات
في حد في الدنيا دي بيعوض حبيبه
أنا الليل بييجي يصحي في قلبي حكايات

ما قدرتش أنساك والليالي
كل ما تفوت الليالي كل ما أشتاق يا حبيبي وأقول
أيامنا واحشاك ولا ناسي
يا اللي إنت من غيرك بقاسي
كان نفسي أعيش عمري معاك على طول
ما قدرتش أنساك والليالي
كل ما تفوت الليالي كل ما أشتاق يا حبيبي وأقول
أيامنا واحشاك ولا ناسي
يا اللي إنت من غيرك بقاسي
ما كنتش أتخيل فراقنا يطول

ما قدرتش أنساك والليالي
كل ما تفوت الليالي كل ما أشتاق يا حبيبي وأقول
أيامنا واحشاك ولا ناسي
يا اللي إنت من غيرك بقاسي
كان نفسي أعيش عمري معاك على طول
ما قدرتش أنساك والليالي
كل ما تفوت الليالي كل ما أشتاق يا حبيبي وأقول
أيامنا واحشاك ولا ناسي
يا اللي إنت من غيرك بقاسي
ما كنتش أتخيل فراقنا يطول
ما قدرتش أنساك والليالي
كل ما تفوت الليالي كل ما أشتاق يا حبيبي وأقول
أيامنا واحشاك ولا ناسي
يا اللي إنت من غيرك بقاسي
كان نفسي أعيش عمري معاك على طول"
2020,عمرو مصطفى,خالد تاج,حلوة البدايات,"حلوة البدايات كلها حكايات
بسهر وياك ونتكلم ونحكي بالساعات
جنني هواك للصبح معاك
نفرح ونعيش نعوض عمر قبلك فات
حلوة البدايات كلها حكايات
بسهر وياك ونتكلم ونحكي بالساعات
جنني هواك للصبح معاك
نفرح ونعيش نعوض عمر قبلك فات

شوقي ليك بيحلي أيامي تملي
إيه اللي حاصلي، حبك غير فيا حاجات

حلوة البدايات كلها حكايات
بسهر وياك ونتكلم ونحكي بالساعات
جنني هواك للصبح معاك
نفرح ونعيش نعوض عمر قبلك فات

يا قمرنا سهرنا وإشغلنا
والله مستني مواعيدنا وكلامنا
ونعيش أجمل أوقات
وأنا وإنت وتالتنا فرحتنا والحياة حلوة
عايشنها حابينها وأهي دي بجد الحكايات

حلوة البدايات كلها حكايات
بسهر وياك ونتكلم ونحكي بالساعات
جنني هواك للصبح معاك
نفرح ونعيش نعوض عمر قبلك فات"
2020,عزيز الشافعي,عزيز الشافعي,زي ما إنتي,"إنتي لسه زي ما إنتي قمر في عيني
أحلى عمر دا اللي كان بينك وبيني
وأما تيجي في الكلام سيرتك بقول
دي حبيبتي الغالية، دي بنت الأصول
مستحيل أقبل في حقك أي كلمة
إنتي أعلى منهم فوق إنتي نجمة
واللي يسألني عليكي بقول دي نعمة
مستحيل أوصف جمالك مهما أقول

زي ما إنتي، إنتي عندي زي ما إنتي
الغلاوة هي هي والمشاعر متدارية
زي ما إنتي، إنتي عندي زي ما إنتي
الغلاوة هي هي والمشاعر متدارية

ده إنتي سايبة جوة قلبي ذكرى حلوة
لسه صوتك بسمعه في وداني غنوة
دي الحقيقة إن الحياة بعدك ما تسوى
حبي ليكي كل يوم في البعد يقوى
سيبك إنتي عاملة إيه وإزيك إنتي
دي الغلاوة هي هي والمشاعر متدارية

زي ما إنتي، إنتي عندي زي ما إنتي
الغلاوة هي هي والمشاعر متدارية

زي ما إنتي، إنتي عندي زي ما إنتي
الغلاوة هي هي والمشاعر متدارية
زي ما إنتي، إنتي عندي زي ما إنتي
الغلاوة هي هي والمشاعر متدارية"
2020,محمد يحيى,أحمد المالكي,يا روقانك,"يا روقانك يا روقانك
شقية وحلوة في جنانك
يا روقانك يا روقانك
يا نجمة وعالية في مكانك

هي هي هي
هي العيون ديا
دي محيرة قلبي اللي إشتاق
عليكي شياكة خطفتني
ومشية عارضة أزياء
هي هي هي
هي العيون ديا
دي محيرة قلبي اللي إشتاق
عليكي شياكة خطفتني
ومشية عارضة أزياء

يا روقانك يا روقانك
شقية وحلوة في جنانك
يا روقانك يا روقانك
يا نجمة وعالية في مكانك
يا روقانك يا روقانك
شقية وحلوة في جنانك
يا روقانك يا روقانك
يا نجمة وعالية في مكانك

هي هي هي
هي العيون ديا
بتخليني ألف وأدور
ملامحك هادية بتطمن وطالع منها سحر ونور

يا روقانك يا روقانك
شقية وحلوة في جنانك
يا روقانك يا روقانك
يا نجمة وعالية في مكانك
يا روقانك يا روقانك
شقية وحلوة في جنانك
يا روقانك يا روقانك
يا نجمة وعالية في مكانك

يا روقانك يا روقانك
شقية وحلوة في جنانك
يا روقانك يا روقانك
يا نجمة وعالية في مكانك
يا روقانك يا روقانك
شقية وحلوة في جنانك
يا روقانك يا روقانك
يا نجمة وعالية في مكانك
يا روقانك يا روقانك
شقية وحلوة في جنانك
يا روقانك يا روقانك
يا نجمة وعالية في مكانك"
2020,أحمد زغلول,أحمد زغلول,روح,"جرح الهوى لو من الحبايب
مالوش دوا آآآه وأنا قلبي دايب
جرح الهوى لو من الحبايب
مالوش دوا آآآه وأنا قلبي دايب
إنسى اللي كان، أنا قدرت أنسى
كل اللي بينا هنعيشه ذكري
إنسى اللي كان، أنا قدرت أنسى
كل اللي بينا هنعيشه ذكري

وروح روح إبعد عني
روح روح ياللي تاعبني
روح روح إبعد عني
روح روح يا اللي تاعبني
دا أنا قلبي سامحك وجرحي سامحك
الله يسامحك
آآآه أنا قلبي سامحك وجرحي سامحك
الله يسامحك
يا خسارة يا خسارة يا خسارة
يا خسارة على الأيام

هتقولي إيه بعد اللي قولته
أنا حبي ليك آآه من قلبي شيلته
هتقولي إيه بعد اللي قولته
أنا حبي ليك من قلبي شيلته
ما أبقاش على واحد خسرني
جاي بعد إيه، جاي تفتكرني
آآه ما أبقاش على واحد خسرني
جاي بعد إيه آآه، جاي تفتكرني

روح روح إبعد عني
روح روح يا اللي تاعبني
روح روح إبعد عني
روح روح يا اللي تاعبني
دا أنا قلبي سامحك وجرحي سامحك
الله يسامحك
آآآه أنا قلبي سامحك وجرحي سامحك
الله يسامحك
يا خسارة يا خسارة يا خسارة
يا خسارة على الأيام"
