Song,Lyrics,sentiment_label,sentiment_explanation
حلوة البدايات,"['حلوه', 'البدايات', 'حكايات', 'بسهر', 'وياك', 'ونتكلم', 'ونحكي', 'بالساعات', 'جنني', 'هواك', 'للصبح', 'معاك', 'نفرح', 'ونعيش', 'نعوض', 'عمر', 'قبلك', 'فات', 'حلوه', 'البدايات', 'حكايات', 'بسهر', 'وياك', 'ونتكلم', 'ونحكي', 'بالساعات', 'جنني', 'هواك', 'للصبح', 'معاك', 'نفرح', 'ونعيش', 'نعوض', 'عمر', 'قبلك', 'فات', 'شوقي', 'ليك', 'بيحلي', 'ايامي', 'تملي', 'ايه', 'حاصلي', 'حبك', 'فيا', 'حاجات', 'حلوه', 'البدايات', 'حكايات', 'بسهر', 'وياك', 'ونتكلم', 'ونحكي', 'بالساعات', 'جنني', 'هواك', 'للصبح', 'معاك', 'نفرح', 'ونعيش', 'نعوض', 'عمر', 'قبلك', 'فات', 'قمرنا', 'سهرنا', 'واشغلنا', 'والله', 'مستني', 'مواعيدنا', 'وكلامنا', 'ونعيش', 'اجمل', 'اوقات', 'وانا', 'وانت', 'وتالتنا', 'فرحتنا', 'والحياه', 'حلوه', 'عايشنها', 'حابينها', 'واهي', 'بجد', 'الحكايات', 'حلوه', 'البدايات', 'حكايات', 'بسهر', 'وياك', 'ونتكلم', 'ونحكي', 'بالساعات', 'جنني', 'هواك', 'للصبح', 'معاك', 'نفرح', 'ونعيش', 'نعوض', 'عمر', 'قبلك', 'فات']",Positive,"**Positive**

Explanation: The lyrics express joy, love, and happiness. Words like ""حلوه"" (sweet/beautiful), ""نفرح"" (we rejoice), ""نعوض"" (we compensate), ""اجمل"" (most beautiful), ""فرحتنا"" (our joy), and ""حابينها"" (we love it) clearly indicate a positive sentiment. The feeling of being captivated by love (""جنني هواك"") is also expressed in a positive light."
زي ما إنتي,"['انتي', 'انتي', 'قمر', 'احلي', 'عمر', 'واما', 'تيجي', 'الكلام', 'سيرتك', 'بقول', 'حبيبتي', 'الغاليه', 'بنت', 'الاصول', 'مستحيل', 'اقبل', 'حقك', 'اي', 'كلمه', 'انتي', 'اعلي', 'انتي', 'نجمه', 'يسالني', 'عليكي', 'بقول', 'نعمه', 'مستحيل', 'اوصف', 'جمالك', 'اقول', 'انتي', 'انتي', 'انتي', 'الغلاوه', 'والمشاعر', 'متداريه', 'انتي', 'انتي', 'انتي', 'الغلاوه', 'والمشاعر', 'متداريه', 'انتي', 'سايبه', 'جوه', 'قلبي', 'ذكري', 'حلوه', 'صوتك', 'بسمعه', 'وداني', 'غنوه', 'الحقيقه', 'ان', 'الحياه', 'تسوي', 'حبي', 'ليكي', 'البعد', 'يقوي', 'سيبك', 'انتي', 'عامله', 'ايه', 'وازيك', 'انتي', 'الغلاوه', 'والمشاعر', 'متداريه', 'انتي', 'انتي', 'انتي', 'الغلاوه', 'والمشاعر', 'متداريه', 'انتي', 'انتي', 'انتي', 'الغلاوه', 'والمشاعر', 'متداريه', 'انتي', 'انتي', 'انتي', 'الغلاوه', 'والمشاعر', 'متداريه']",Positive,"Positive. The lyrics are filled with praise, admiration, and expressions of love and appreciation (""moon,"" ""most beautiful life,"" ""my dear beloved,"" ""woman of principles,"" ""grace,"" ""beauty,"" ""preciousness,"" ""sweet memories,"" ""my love for you""). The song conveys a strong positive sentiment towards the person being addressed."
يا روقانك,"['روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه', 'العيون', 'ديا', 'محيره', 'قلبي', 'اشتاق', 'عليكي', 'شياكه', 'خطفتني', 'ومشيه', 'عارضه', 'ازياء', 'العيون', 'ديا', 'محيره', 'قلبي', 'اشتاق', 'عليكي', 'شياكه', 'خطفتني', 'ومشيه', 'عارضه', 'ازياء', 'روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه', 'روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه', 'العيون', 'ديا', 'بتخليني', 'الف', 'وادور', 'ملامحك', 'هاديه', 'بتطمن', 'وطالع', 'سحر', 'ونور', 'روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه', 'روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه', 'روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه', 'روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه', 'روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه']",Positive,"**Positive**

The lyrics are filled with positive descriptions of the subject. Words like "" حلوه "" (sweet/beautiful), "" جنانك "" (your madness/craziness - used in a positive, endearing way), "" نجمه "" (star), "" عاليه "" (high/exalted), "" شياكه "" (chic/stylish), "" خطفتني "" (snatched me/stole my heart), "" هاديه "" (calm/peaceful), "" بتطمن "" (reassures me), ""سحر"" (magic), and ""نور"" (light) all contribute to a highly positive and admiring sentiment. The repetition of "" روقانك "" (your coolness/serenity) also emphasizes this positive feeling."
روح,"['جرح', 'الهوي', 'الحبايب', 'دوا', 'اه', 'وانا', 'قلبي', 'دايب', 'جرح', 'الهوي', 'الحبايب', 'دوا', 'اه', 'وانا', 'قلبي', 'دايب', 'انسي', 'انا', 'قدرت', 'انسي', 'بينا', 'هنعيشه', 'ذكري', 'انسي', 'انا', 'قدرت', 'انسي', 'بينا', 'هنعيشه', 'ذكري', 'وروح', 'روح', 'ابعد', 'روح', 'روح', 'ياللي', 'تاعبني', 'روح', 'روح', 'ابعد', 'روح', 'روح', 'تاعبني', 'انا', 'قلبي', 'سامحك', 'وجرحي', 'سامحك', 'الله', 'يسامحك', 'اه', 'انا', 'قلبي', 'سامحك', 'وجرحي', 'سامحك', 'الله', 'يسامحك', 'خساره', 'خساره', 'خساره', 'خساره', 'علي', 'الايام', 'هتقولي', 'ايه', 'قولته', 'انا', 'حبي', 'ليك', 'اه', 'قلبي', 'شيلته', 'هتقولي', 'ايه', 'قولته', 'انا', 'حبي', 'ليك', 'قلبي', 'شيلته', 'ابقاش', 'علي', 'خسرني', 'جاي', 'ايه', 'جاي', 'تفتكرني', 'اه', 'ابقاش', 'علي', 'خسرني', 'جاي', 'ايه', 'اه', 'جاي', 'تفتكرني', 'روح', 'روح', 'ابعد', 'روح', 'روح', 'تاعبني', 'روح', 'روح', 'ابعد', 'روح', 'روح', 'تاعبني', 'انا', 'قلبي', 'سامحك', 'وجرحي', 'سامحك', 'الله', 'يسامحك', 'اه', 'انا', 'قلبي', 'سامحك', 'وجرحي', 'سامحك', 'الله', 'يسامحك', 'خساره', 'خساره', 'خساره', 'خساره', 'علي', 'الايام']",Mixed,"**Mixed**

The lyrics express a blend of emotions. There is pain (""جرح"" - wound, ""تاعبني"" - tiring me), regret (""خساره"" - loss), and heartbreak (""قلبي دايب"" - my heart is melting). However, there is also forgiveness (""قلبي سامحك"" - my heart forgave you, ""الله يسامحك"" - may God forgive you) and a desire for the other person to leave (""روح ابعد"" - go away, go far). The speaker is trying to move on but still feels the sting of the past relationship."
بحبه,"['بحبه', 'دلعه', 'وتقله', 'بحبه', 'قله', 'عقله', 'بحبه', 'غيرته', 'عليا', 'بيتهياله', 'بحبه', 'دلعه', 'وتقله', 'بحبه', 'قله', 'عقله', 'بحبه', 'غيرته', 'عليا', 'بيتهياله', 'انا', 'متعود', 'علي', 'طبعه', 'انا', 'حافظه', 'وخدت', 'هلاقي', 'ربعه', 'بحبه', 'وهعمل', 'ايه', 'اه', 'انا', 'متعود', 'علي', 'طبعه', 'انا', 'حافظه', 'وخدت', 'زعلنا', 'بع', 'واطاوعه', 'بحبه', 'وهعمل', 'ايه', 'نار', 'نار', 'حبه', 'ليا', 'نار', 'نار', 'نار', 'نار', 'شاغلني', 'ليل', 'ونهار', 'بحبه', 'واحب', 'عينيه', 'تلاحقني', 'يجنني', 'ويقلقني', 'بحبه', 'وانا', 'بحلفله', 'وعمره', 'صدقني', 'بحبه', 'حبيبي', 'حالاته', 'سوء', 'ظنه', 'وحكاياته', 'هيعقل', 'امتي', 'حبيبي', 'وانا', 'واخد', 'اهتماماته', 'انا', 'متعود', 'علي', 'طبعه', 'انا', 'حافظه', 'وخدت', 'هلاقي', 'ربعه', 'بحبه', 'وهعمل', 'ايه', 'اه', 'انا', 'متعود', 'علي', 'طبعه', 'انا', 'حافظه', 'وخدت', 'زعلنا', 'بع', 'واطاوعه', 'بحبه', 'وهعمل', 'ايه', 'اه', 'انا', 'متعود', 'علي', 'طبعه', 'انا', 'حافظه', 'وخدت', 'زعلنا', 'بع', 'واطاوعه', 'بحبه', 'وهعمل', 'ايه']",Mixed,"**Mixed**

Explanation: The lyrics express love and affection (""بحبه"" - I love him) alongside mentions of jealousy, possessiveness, and difficult behaviors (""دلعه وتقله"" - his pampering and aloofness, ""غيرته عليا"" - his jealousy of me, ""سوء ظنه"" - his bad assumptions). The speaker is also ""used to his ways"" and ""tolerates"" him (""متعود علي طبعه"", ""واطاوعه""). There is an element of the lyrics which describe her love as both consuming and chaotic (""نار نار حبه ليا"" - His love for me is fire)."
قدام مرايتها,"['قدام', 'مرايتها', 'عادي', 'بتدلع', 'براحتها', 'بستناها', 'وبستعجلها', 'تضحكلي', 'وابصلها', 'تختار', 'الوانها', 'تسال', 'راي', 'فستانها', 'طب', 'هختار', 'ازاي', 'وجمالها', 'بيحلي', 'الدنيا', 'بحالها', 'قدام', 'مرايتها', 'عادي', 'بتدلع', 'براحتها', 'بستناها', 'وبستعجلها', 'تضحكلي', 'وابصلها', 'تختار', 'الوانها', 'تسال', 'راي', 'فستانها', 'طب', 'هختار', 'ازاي', 'وجمالها', 'بيحلي', 'الدنيا', 'بحالها', 'بعيوني', 'شايفها', 'احلي', 'الحلوين', 'تتقل', 'علي', 'كيفها', 'عايز', 'شايف', 'نن', 'قدام', 'مرايتها', 'عادي', 'بتدلع', 'براحتها', 'بستناها', 'وبستعجلها', 'تضحكلي', 'وابصلها', 'تختار', 'الوانها', 'تسال', 'راي', 'فستانها', 'طب', 'هختار', 'ازاي', 'وجمالها', 'بيحلي', 'الدنيا', 'بحالها', 'بضعف', 'قدامها', 'طب', 'هعمل', 'ايه', 'كفايه', 'كلامها', 'اقدرش', 'عايز', 'شايف', 'قمر', 'انما', 'ايه', 'قدام', 'مرايتها', 'عادي', 'بتدلع', 'براحتها', 'بستناها', 'وبستعجلها', 'تضحكلي', 'وابصلها', 'تختار', 'الوانها', 'تسال', 'راي', 'فستانها', 'طب', 'هختار', 'ازاي', 'وجمالها', 'بيحلي', 'الدنيا', 'بحالها', 'قدام', 'مرايتها', 'عادي', 'بتدلع', 'براحتها', 'بستناها', 'وبستعجلها', 'تضحكلي', 'وابصلها', 'تختار', 'الوانها', 'تسال', 'راي', 'فستانها', 'طب', 'هختار', 'ازاي', 'وجمالها', 'بيحلي', 'الدنيا', 'بحالها']",Positive,"**Positive**

The lyrics express admiration, fondness, and affection. Words like ""جمالها (her beauty) بيحلي الدنيا بحالها (makes the world beautiful),"" ""احلي الحلوين (the most beautiful of the beautiful),"" ""تضحكلي (she smiles at me),"" and ""قمر (moon)"" indicate a positive and loving sentiment. The singer describes her actions with a lighthearted acceptance."
يوم تلات,"['تلات', 'تلات', 'بنات', 'ندهوني', 'علي', 'البساط', 'بصات', 'ياناس', 'عجبوني', 'قعده', 'وانبساط', 'وعزموني', 'فتفتوا', 'الفتافيت', 'وفتنوني', 'تلات', 'تلات', 'بنات', 'ندهوني', 'علي', 'البساط', 'بصات', 'ياناس', 'عجبوني', 'قعده', 'وانبساط', 'وعزموني', 'فتفتوا', 'الفتافيت', 'وفتنوني', 'شكلها', 'مؤامره', 'اعشق', 'السمرا', 'اعشق', 'البيضا', 'ام', 'الخدود', 'حمرا', 'الحياه', 'حلوه', 'ويا', 'ام', 'روح', 'حلوه', 'حلوين', 'جننوني', 'اجي', 'اقوم', 'اقول', 'خليني', 'منتهي', 'الجمال', 'مال', 'امشي', 'المكان', 'ايه', 'يمشيني', 'لمه', 'الحلوين', 'بتغريني', 'شعرهم', 'حرير', 'يطير', 'قدامي', 'صعب', 'اشوف', 'احلامي', 'سحرهم', 'خطير', 'يوصف', 'ايه', 'كلامي', 'تلات', 'ايامي', 'عود', 'وعود', 'احلي', 'التاني', 'قلبي', 'يعود', 'ليا', 'ايدي', 'عود', 'قلت', 'اغاني', 'والصباح', 'رباح', 'عجباني', 'كلمه', 'كلمتين', 'الليل', 'قوام', 'عيشنا', 'جميل', 'احلي', 'اتخيل', 'واحده', 'واحده', 'عليا', 'بتمي', 'هعيش', 'عمري', 'قليل', 'تلات', 'تلات', 'بنات', 'ندهوني', 'علي', 'البساط', 'بصات', 'ياناس', 'عجبوني', 'قعده', 'وانبساط', 'وعزموني', 'فتفتوا', 'الفتافيت', 'وفتنوني']",Positive,"**Positive**

The lyrics express joy, attraction, and enjoyment of life. Words like ""عجبوني"" (they impressed me), ""انبساط"" (enjoyment), ""الحياه حلوه"" (life is sweet), ""حلوين"" (beautiful), ""منتهي الجمال"" (ultimate beauty), ""احلي"" (the best), and ""عيشنا جميل"" (our life is beautiful) strongly indicate a positive sentiment."
أول يوم في البعد,"['اول', 'البعد', 'بيعدي', 'سنين', 'عمر', 'عمرين', 'ماشي', 'لوحدك', 'تسال', 'انا', 'رايح', 'فين', 'اول', 'البعد', 'تبات', 'مجروح', 'والاحلام', 'بتروح', 'احساسك', 'وحبيبك', 'سايبك', 'طلوع', 'الروح', 'اول', 'البعد', 'بيعدي', 'سنين', 'عمر', 'عمرين', 'ماشي', 'لوحدك', 'تسال', 'انا', 'رايح', 'فين', 'اول', 'البعد', 'تبات', 'مجروح', 'والاحلام', 'بتروح', 'احساسك', 'وحبيبك', 'سايبك', 'طلوع', 'الروح', 'اول', 'عرفتك', 'قلبي', 'يموت', 'اول', 'مره', 'بفكر', 'عمري', 'بعيشه', 'انا', 'بقي', 'معقول', 'هقدر', 'اسمعلك', 'صوت', 'بنام', 'حبيبي', 'وبصحي', 'اول', 'عرفتك', 'قلبي', 'يموت', 'اول', 'مره', 'بفكر', 'عمري', 'بعيشه', 'انا', 'بقي', 'معقول', 'هقدر', 'اسمعلك', 'صوت', 'بنام', 'حبيبي', 'وبصحي', 'لينا', 'حياه', 'هنعوضها', 'منين', 'ونعوضها', 'بمين', 'اصعب', 'حاجه', 'تهد', 'ثانيه', 'انت', 'بانيه', 'سنين', 'اول', 'البعد', 'بفكر', 'هعمل', 'ايه', 'بعديه', 'يفارق', 'اغلي', 'حبايبه', 'الله', 'يقويه', 'اول', 'عرفتك', 'قلبي', 'يموت', 'اول', 'مره', 'بفكر', 'عمري', 'بعيشه', 'انا', 'بقي', 'معقول', 'هقدر', 'اسمعلك', 'صوت', 'بنام', 'حبيبي', 'وبصحي', 'اول', 'عرفتك', 'قلبي', 'يموت', 'اول', 'مره', 'بفكر', 'عمري', 'بعيشه', 'انا', 'بقي', 'معقول', 'هقدر', 'اسمعلك', 'صوت', 'بنام', 'حبيبي', 'وبصحي']",Negative,"**Negative**

The lyrics describe themes of separation (""البعد""), pain (""مجروح""), loss of dreams (""والاحلام بتروح""), a feeling of dying (""قلبي يموت""), and the difficulty of moving on after a relationship ends. Words like ""اصعب"" (hardest), ""تهد"" (destroy), and ""يفارق"" (separate) further reinforce the negative sentiment."
يا ساحر,"['ساحر', 'عينيك', 'قمر', 'طالع', 'طالل', 'مزغلل', 'عيوني', 'انا', 'بالذات', 'حرام', 'ومعلقني', 'بيك', 'اول', 'مره', 'اتلاقينا', 'وسهرت', 'الليالي', 'الله', 'الله', 'يوريك', 'كتير', 'عليا', 'تهدي', 'شويه', 'هتعمل', 'ايه', 'خليك', 'الهادي', 'العادي', 'قصادي', 'للدرجه', 'انا', 'شوفتك', 'مشوفتش', 'حواليا', 'سالت', 'هعيش', 'ثانيه', 'لقيت', 'يعوضني', 'وحقق', 'مرادي', 'ليله', 'ليله', 'ليله', 'ليله', 'حبيت', 'ليله', 'ليله', 'ليله', 'ليله', 'حبيت', 'ساعات', 'ضحكه', 'تشوفها', 'تستسلم', 'تشدك', 'ليها', 'وعيون', 'بتقابلها', 'تطمن', 'وانا', 'قلبي', 'ارتاح', 'السعاده', 'بحلم', 'سنين', 'الاقيها', 'هعتبر', 'قبلك', 'نسيته', 'وعدي', 'وكتير', 'عليا', 'تهدي', 'شويه', 'هتعمل', 'ايه', 'خليك', 'الهادي', 'العادي', 'قصادي', 'للدرجه', 'انا', 'شوفتك', 'شوفتش', 'حواليا', 'سالت', 'هعيش', 'ثانيه', 'لقيت', 'يعوضني', 'وحقق', 'مرادي', 'ساحر', 'عينيك', 'قمر', 'طالع', 'طالل', 'مزغلل', 'عيوني', 'انا', 'بالذات', 'حرام', 'ومعلقني', 'بيك', 'اول', 'مره', 'اتلاقينا', 'وسهرت', 'الليالي', 'الله', 'الله', 'يوريك', 'ساحر', 'عينيك', 'قمر', 'طالع', 'طالل', 'مزغلل', 'عيوني', 'انا', 'بالذات', 'حرام', 'ومعلقني', 'بيك', 'اول', 'مره', 'اتلاقينا', 'وسهرت', 'الليالي', 'الله', 'الله', 'يوريك']",Positive,"**Positive**

Explanation: The lyrics express strong feelings of love, admiration, and happiness. Phrases like ""ساحر عينيك"" (your eyes are magic), ""قمر طالع"" (a rising moon), ""حبيت"" (I loved), ""السعاده"" (happiness), and ""قلبي ارتاح"" (my heart is at peace) all point to a positive sentiment. The singer describes feeling captivated and fulfilled by the object of their affection."
يتعلموا,"['يتعلموا', 'يتعلموا', 'الرقه', 'يتعلموا', 'شوف', 'فين', 'وحبيبي', 'فين', 'شافوش', 'يحلموا', 'اه', 'يتعلموا', 'يتعلموا', 'الرقه', 'يتعلموا', 'شوف', 'فين', 'وحبيبي', 'فين', 'شافوش', 'يحلموا', 'ضحكه', 'ديا', 'لون', 'عيونه', 'عاديه', 'يجي', 'جنبي', 'يجي', 'ليا', 'احكيله', 'شفته', 'انا', 'بعنيا', 'ضحكه', 'ديا', 'لون', 'عيونه', 'عاديه', 'يجي', 'جنبي', 'يجي', 'ليا', 'احكيله', 'شفته', 'انا', 'بعنيا', 'اموت', 'اموت', 'الضحكه', 'اموت', 'اموت', 'النظره', 'الله', 'الله', 'الله', 'اموت', 'اموت', 'الضحكه', 'اموت', 'اموت', 'النظره', 'الله', 'الله', 'الله', 'يتعلموا', 'ويقلدوا', 'بعيد', 'يتعقدوا', 'جماله', 'بيزيد', 'حضني', 'عمري', 'ماهبعده', 'يتعلموا', 'ويقلدوا', 'بعيد', 'يتعقدوا', 'جماله', 'بيزيد', 'حضني', 'عمري', 'هبعده', 'عدي', 'عدي', 'عدي', 'عدي', 'الجمال', 'شفته', 'مره', 'واحده', 'بارده', 'علي', 'خلي', 'قلبي', 'ناره', 'تهدي', 'عدي', 'عدي', 'عدي', 'عدي', 'الجمال', 'شفته', 'مره', 'واحده', 'بارده', 'اه', 'خلي', 'قلبي', 'ناره', 'تهدي', 'اموت', 'اموت', 'الضحكه', 'اموت', 'اموت', 'النظره', 'الله', 'الله', 'الله', 'عدي', 'عدي', 'عدي', 'عدي', 'الجمال', 'شفته', 'مره', 'واحده', 'بارده', 'علي', 'خلي', 'قلبي', 'ناره', 'تهدي', 'عدي', 'عدي', 'عدي', 'عدي', 'الجمال', 'شفته', 'مره', 'واحده', 'بارده', 'اه', 'علي', 'خلي', 'قلبي', 'ناره', 'تهدي', 'عدي', 'عدي', 'عدي', 'عدي']",Positive,"**Positive**

The lyrics express strong admiration and love for the beloved, using phrases like ""اموت اموت الضحكه اموت اموت النظره الله الله الله"" (I die for the laughter, I die for the look, God God God) and describing their beauty as increasing (""جماله بيزيد""). The phrase ""حضني عمري ماهبعده"" (my embrace, I will never let go) signifies commitment and affection."
كنت في بالي,"['انت', 'بالي', 'حالا', 'مفيش', 'عايش', 'عارف', 'تعيش', 'انا', 'كتير', 'سبتك', 'وحاسس', 'انك', 'انت', 'سبتنيش', 'يهمنيش', 'سايب', 'واحده', 'النتيجه', 'انا', 'وانت', 'طالعين', 'خسرانين', 'وانا', 'بخير', 'هيجي', 'الخير', 'منين', 'فكره', 'انك', 'رحت', 'قابلها', 'شوف', 'نهايه', 'انا', 'وانت', 'نستاهلها', 'انت', 'هتقول', 'نسيت', 'واسمعها', 'هعتبرك', 'كانك', 'قايلها', 'اه', 'فكره', 'انك', 'رحت', 'قابلها', 'شوف', 'نهايه', 'انا', 'وانت', 'نستاهلها', 'انت', 'هتقول', 'نسيت', 'واسمعها', 'هعتبرك', 'كانك', 'قايلها', 'ناس', 'كتيره', 'بتتهمني', 'حبي', 'ليك', 'قالوا', 'عشت', 'بهمل', 'وانا', 'بهتم', 'بيك', 'وانا', 'تاه', 'وانا', 'بيدور', 'نسياني', 'ليك', 'صدقني', 'هقدر', 'وانت', 'مقاسمني', 'حلم', 'حلمت', 'وانساك', 'بايه', 'وانت', 'مصاحبني', 'ميه', 'طريق', 'وانا', 'ماشي', 'فكره', 'انك', 'رحت', 'قابلها', 'شوف', 'نهايه', 'انا', 'وانت', 'نستاهلها', 'انت', 'هتقول', 'نسيت', 'واسمعها', 'هعتبرك', 'كانك', 'قايلها']",Mixed,"**Mixed**

The lyrics express a blend of emotions. While there's a sense of loss and regret (""النتيجه انا وانت طالعين خسرانين"" - ""the result is that you and I are both losing""), there's also a determination to move on (""صدقني هقدر"" - ""believe me, I can""), and acceptance of the situation (""انا وانت نستاهلها"" - ""you and I deserve it""). The singer is hurting but trying to cope."
إنت مغرور,"['ليك', 'تضحك', 'وتسلم', 'ليك', 'عادي', 'بتتعامل', 'والله', 'عيب', 'انا', 'عشت', 'جنبك', 'بتالم', 'وبقول', 'مافيش', 'انسان', 'كامل', 'انت', 'غريب', 'ليك', 'تضحك', 'وتسلم', 'ليك', 'عادي', 'بتتعامل', 'والله', 'عيب', 'انا', 'عشت', 'جنبك', 'بتالم', 'وبقول', 'مفيش', 'انسان', 'كامل', 'انت', 'غريب', 'انت', 'مغرور', 'انت', 'معدوم', 'الشعور', 'انت', 'الزينه', 'ديكور', 'عاشرك', 'معذور', 'مغرور', 'ايوه', 'مغرور', 'ايوه', 'معدوم', 'الشعور', 'ايوه', 'الزينه', 'ديكور', 'عاشرك', 'معذور', 'مغرور', 'انت', 'مغرور', 'انت', 'معدوم', 'الشعور', 'انت', 'الزينه', 'ديكور', 'عاشرك', 'معذور', 'مغرور', 'ايوه', 'مغرور', 'ايوه', 'معدوم', 'الشعور', 'ايوه', 'الزينه', 'ديكور', 'عاشرك', 'معذور', 'مغرور', 'انا', 'بتلون', 'هحن', 'هعمل', 'خاطر', 'انا', 'مقفول', 'الب', 'اوقات', 'بيهون', 'وتعبت', 'القرب', 'ساتر', 'معقول', 'انا', 'بتلون', 'هحن', 'هعمل', 'خاطر', 'انا', 'مقفول', 'الب', 'اوقات', 'بيهون', 'وتعبت', 'القرب', 'ياساتر', 'معقول', 'انت', 'مغرور', 'انت', 'معدوم', 'الشعور', 'انت', 'الزينه', 'ديكور', 'عاشرك', 'معذور', 'مغرور', 'ايوه', 'مغرور', 'ايوه', 'معدوم', 'الشعور', 'ايوه', 'الزينه', 'ديكور', 'عاشرك', 'معذور', 'مغرور', 'انت', 'مغرور', 'انت', 'معدوم', 'الشعور', 'انت', 'الزينه', 'ديكور', 'عاشرك', 'معذور', 'مغرور', 'ايوه', 'مغرور', 'ايوه', 'معدوم', 'الشعور', 'ايوه', 'الزينه', 'ديكور', 'عاشرك', 'معذور', 'مغرور', 'انت', 'مغرور', 'انت', 'معدوم', 'الشعور', 'انت', 'الزينه', 'ديكور', 'عاشرك', 'معذور', 'مغرور', 'ايوه', 'مغرور', 'ايوه', 'معدوم', 'الشعور', 'ايوه', 'الزينه', 'ديكور', 'عاشرك', 'معذور', 'مغرور']",Negative,"**Negative**

Explanation: The lyrics express feelings of pain, frustration, and accusation. Words like ""عيب"" (shameful), ""بتالم"" (suffering), ""غريب"" (strange), ""مغرور"" (arrogant), ""معدوم الشعور"" (devoid of feelings), and ""معذور"" (excused, implying putting up with bad behavior) clearly indicate a negative sentiment. The speaker feels hurt and criticizes the other person's behavior and character."
باين حبيت,"['وانت', 'يشغلنيش', 'الناس', 'فرق', 'الاحساس', 'اجمل', 'بكتير', 'وانت', 'بشوفك', 'احلي', 'الناس', 'حقيقه', 'خلاص', 'مفيهاش', 'تغير', 'باين', 'حبيت', 'ايوه', 'انا', 'حبيت', 'حبيت', 'الدنيا', 'بتضحكلي', 'معاك', 'علي', 'طول', 'باين', 'حبيت', 'ايوه', 'انا', 'حبيت', 'وبشوف', 'عينيك', 'الفرحه', 'تخليني', 'بقول', 'اتاكدت', 'ان', 'انا', 'اقدرش', 'اعيش', 'وانا', 'وياك', 'وهقولك', 'ايه', 'مفيش', 'ثانيه', 'تعدي', 'توحشنيش', 'وارتحت', 'معاك', 'طب', 'اسمي', 'ايه', 'باين', 'حبيت', 'ايوه', 'انا', 'حبيت', 'حبيت', 'الدنيا', 'بتضحكلي', 'معاك', 'علي', 'طول', 'باين', 'حبيت', 'ايوه', 'انا', 'حبيت', 'وبشوف', 'عينيك', 'الفرحه', 'تخليني', 'بقول']",Positive,"**Positive:** The lyrics express feelings of love, happiness, and contentment. Keywords like ""اجمل"" (most beautiful), ""احلي"" (sweeter), ""حبيت"" (I loved), ""الدنيا بتضحكلي"" (the world is laughing at me), ""الفرحه"" (joy), and ""وارتحت"" (I felt comfortable) clearly indicate a positive sentiment."
