Song,Lyrics,emotion_label,emotion_explanation
أحلى وأحلى,"['مدي', 'بتحلو', 'احلي', 'واحلي', 'الليله', 'ياه', 'علي', 'السحر', 'مدي', 'بتحلو', 'احلي', 'واحلي', 'الليله', 'ياه', 'علي', 'السحر', 'روحي', 'انا', 'انا', 'زادت', 'قلبي', 'الغيره', 'حبيبي', 'قربلي', 'العيون', 'الليله', 'مجننا', 'مدي', 'بتحلو', 'احلي', 'واحلي', 'الليله', 'ياه', 'علي', 'السحر', 'مدي', 'بتحلو', 'احلي', 'واحلي', 'الليله', 'ياه', 'علي', 'السحر', 'مدي', 'بتحلو', 'احلي', 'واحلي', 'الليله', 'ياه', 'علي', 'السحر', 'مدي', 'بتحلو', 'احلي', 'واحلي', 'الليله', 'ياه', 'علي', 'السحر', 'يومي', 'هيبتدي', 'معاك', 'وهتبقي', 'دنيا', 'جميله', 'حبيبي', 'انسي', 'الدنيا', 'وسيب', 'روحك', 'حضني', 'الليله', 'مجننا', 'مدي', 'بتحلو', 'احلي', 'واحلي', 'الليله', 'ياه', 'علي', 'السحر', 'مدي', 'بتحلو', 'احلي', 'واحلي', 'الليله', 'ياه', 'علي', 'السحر', 'مدي', 'بتحلو', 'احلي', 'واحلي', 'الليله', 'ياه', 'علي', 'السحر', 'مدي', 'بتحلو', 'احلي', 'واحلي', 'الليله', 'ياه', 'علي', 'السحر']",Joy,"**Love and Joy:** The lyrics express admiration and affection (""sweet,"" ""more beautiful""), excitement (""the night is crazy""), and a desire for closeness (""come closer, my love,"" ""leave your soul in my embrace""). There's also a sense of wonder and enchantment (""magic"")."
معاك قلبي,"['قولي', 'حبيبي', 'وانت', 'بعيد', 'انا', 'شوقي', 'ليك', 'بيزيد', 'وان', 'جيت', 'انا', 'برتاح', 'قولي', 'حبيبي', 'ايه', 'غيرني', 'وازاي', 'بتشغلني', 'عمر', 'قبلك', 'معاك', 'قلبي', 'وبلاش', 'تغيب', 'بتوحشني', 'معاك', 'قلبي', 'والله', 'بنساك', 'معاك', 'قلبي', 'وبلاش', 'تغيب', 'بتوحشني', 'ماليش', 'قلبي', 'احلي', 'ملاك', 'احلي', 'ايامي', 'واجمل', 'سنين', 'تتعاش', 'جنبك', 'اما', 'بلاش', 'اتمناه', 'كلامي', 'حبك', 'فيش', 'بعديه', 'وعرفت', 'راحتي', 'معاه', 'معاك', 'قلبي', 'وبلاش', 'تغيب', 'بتوحشني', 'معاك', 'قلبي', 'والله', 'بنساك', 'معاك', 'قلبي', 'وبلاش', 'تغيب', 'بتوحشني', 'ماليش', 'قلبي', 'احلي', 'ملاك', 'معاك', 'قلبي', 'وبلاش', 'تغيب', 'بتوحشني', 'معاك', 'قلبي', 'والله', 'بنساك', 'معاك', 'قلبي', 'وبلاش', 'تغيب', 'بتوحشني', 'ماليش', 'قلبي', 'احلي', 'ملاك']",Love,"Love: The lyrics express longing, missing the beloved (""بتوحشني"" - you make me miss you), and finding comfort and happiness in their presence (""احلي ايامي واجمل سنين تتعاش جنبك"" - the best days and most beautiful years are lived beside you). There's also a fear of absence (""وبلاش تغيب"" - and don't be absent)."
أمنتك,"['امنتك', 'حبيبي', 'امانه', 'سلملي', 'علي', 'ليالي', 'هوانا', 'وحشانا', 'اجمل', 'ايام', 'حلفتك', 'بيا', 'وبالغالي', 'رجعني', 'اعيش', 'احلي', 'ليالي', 'علي', 'بالي', 'عايزه', 'كلام', 'الشوق', 'خلي', 'ليلي', 'يطول', 'وبفتكرك', 'ودايما', 'اقول', 'هترجع', 'معقول', 'انساك', 'وتنساني', 'حبك', 'بقول', 'حكايات', 'قولتش', 'عمري', 'ماضي', 'وفات', 'وحتي', 'اصعب', 'الاوقات', 'بقول', 'ايامنا', 'وحشاني', 'الدنيا', 'بتلهي', 'وسراقه', 'وعيوني', 'لقربك', 'مشتاقه', 'نتلاقي', 'ونقول', 'ونعيد', 'نسيانك', 'عايزله', 'اراده', 'وانا', 'قلبي', 'بيضعف', 'كالعاده', 'يتمادي', 'حبك', 'ويزيد', 'الشوق', 'خلي', 'ليلي', 'يطول', 'وبفتكرك', 'ودايما', 'اقول', 'هترجع', 'معقول', 'انساك', 'وتنساني', 'حبك', 'بقول', 'حكايات', 'قولتش', 'عمري', 'ماضي', 'وفات', 'وحتي', 'اصعب', 'الاوقات', 'بقول', 'ايامنا', 'وحشاني', 'الشوق', 'اه', 'اه', 'اه', 'اه', 'وبفتكرك', 'ودايما', 'اقول', 'هترجع', 'معقول', 'انساك', 'وتنساني', 'حبك', 'بقول', 'حكايات', 'قولتش', 'عمري', 'ماضي', 'وفات', 'وحتي', 'اصعب', 'الاوقات', 'بقول', 'ايامنا', 'وحشاني', 'ليلي', 'ليل', 'ليلي']",Sadness,"**Nostalgia with a touch of longing.**

The lyrics express a deep yearning for past happy times (""اجمل ايام"", ""احلي ليالي"", ""ايامنا وحشاني""). There's also a hope for reunion (""هترجع معقول"", ""نتلاقي ونقول ونعيد"") mixed with the pain of separation (""انساك وتنساني"") and the difficulty of moving on (""نسيانك عايزله اراده""). While there's sadness, the dominant feeling is a wistful remembrance of cherished memories."
لا لا,"['انا', 'شوفت', 'ياما', 'الدنيا', 'ياما', 'ياما', 'ياما', 'قلوب', 'كتير', 'عاشقين', 'همنيش', 'ساب', 'علامه', 'طبيعي', 'لا', 'لا', 'بالي', 'اسهر', 'ليالي', 'انشغالي', 'حن', 'قلبي', 'ومال', 'زمان', 'شافتش', 'القمر', 'لا', 'لا', 'اعمل', 'ايه', 'وتريح', 'قلبي', 'ايه', 'محتاجلك', 'جنبي', 'قولت', 'ايه', 'عنيك', 'بتقولي', 'اه', 'اه', 'حبتني', 'انت', 'جيت', 'حليتلي', 'الدنيا', 'انت', 'الناس', 'التانيه', 'شفته', 'معاك', 'بعينيا', 'نورلي', 'الحياه', 'لا', 'لا', 'لا']",Love,"Love: The lyrics express a deep feeling of affection and happiness caused by the arrival of a loved one, who has brought light and beauty into the speaker's life. The repeated ""اه اه"" and statements like ""حبتني انت"" (you loved me) and ""جيت حليتلي الدنيا"" (you came and sweetened the world for me) strongly indicate this."
عكس بعض,"['بزعلش', 'اما', 'بفتكرك', 'بلاقي', 'اتامل', 'ماضينا', 'كانش', 'حاجه', 'ان', 'احنا', 'هنكمل', 'بزعلش', 'اما', 'بفتكرك', 'بلاقي', 'اتامل', 'ماضينا', 'كانش', 'حاجه', 'ان', 'احنا', 'هنكمل', 'دايما', 'عكس', 'قولي', 'امتي', 'اتفقنا', 'احنا', 'نشبه', 'فالشبه', 'فراقنا', 'دايما', 'عكس', 'قولي', 'امتي', 'اتفقنا', 'احنا', 'نشبه', 'فالشبه', 'فراقنا', 'اكتر', 'قربنا', 'وسبنا', 'الحب', 'واهو', 'سابنا', 'بنحكي', 'حكايتنا', 'بنزود', 'بنجمل', 'رسمتلي', 'صوره', 'للجنه', 'اول', 'مره', 'نتلاقي', 'مشيت', 'وياك', 'بطيب', 'خاطر', 'لقيتني', 'حيره', 'ومتاهه', 'عرفت', 'قربك', 'الوحده', 'حضنك', 'متغرب', 'وسيره', 'الحب', 'تيجي', 'بقيت', 'بخاف', 'واهرب', 'دايما', 'عكس', 'قولي', 'امتي', 'اتفقنا', 'احنا', 'نشبه', 'فالشبه', 'فراقنا', 'دايما', 'عكس', 'قولي', 'امتي', 'اتفقنا', 'احنا', 'نشبه', 'فالشبه', 'فراقنا', 'اكتر', 'قربنا', 'وسبنا', 'الحب', 'واهو', 'سابنا', 'بنحكي', 'حكايتنا', 'بنزود', 'بنجمل', 'اكتر', 'قربنا', 'وسبنا', 'الحب', 'واهو', 'سابنا', 'بنحكي', 'حكايتنا', 'بنزود', 'بنجمل', 'دايما', 'عكس', 'قولي', 'امتي', 'اتفقنا', 'احنا', 'نشبه', 'فالشبه', 'فراقنا', 'دايما', 'عكس', 'قولي', 'امتي', 'اتفقنا', 'احنا', 'نشبه', 'فالشبه', 'فراقنا', 'اكتر', 'قربنا', 'وسبنا', 'الحب', 'واهو', 'سابنا', 'بنحكي', 'حكايتنا', 'بنزود', 'بنجمل']",Sadness,"**Nostalgia with a hint of sadness:**

The lyrics reflect on a past relationship, remembering it and contemplating how it didn't turn out as expected. There's a sense of reminiscing (""I remember"", ""our past""), mixed with the realization that things went in the opposite direction, leading to separation. The sadness comes from the fact that the love left them, and they are now just telling their story, embellishing it."
حبيبتي,"['انا', 'ليا', 'نظره', 'اعرف', 'بيها', 'الواحده', 'ايه', 'احلي', 'انا', 'ليا', 'نظره', 'اعرف', 'بيها', 'الواحده', 'ايه', 'احلي', 'واهي', 'فكره', 'جيتي', 'ولاغيتيها', 'حاجه', 'فيكي', 'جميله', 'حبيبتي', 'بتتمايل', 'خطوتها', 'بتسوي', 'هوايل', 'حبيبتي', 'بتتمايل', 'خطوتها', 'بتسوي', 'هوايل', 'عامله', 'القلب', 'عمايل', 'ملاك', 'ملاك', 'جمالك', 'رباني', 'بحب', 'اغازلك', 'باغاني', 'جمالك', 'رباني', 'بحب', 'اقول', 'فيكي', 'اغاني', 'احلي', 'كلمه', 'علي', 'لساني', 'حبك', 'انتي', 'ليش', 'سيره', 'عودك', 'طرح', 'اوانه', 'جمل', 'حياتي', 'بالوانه', 'عودك', 'طرح', 'اوانه', 'جمل', 'حياتي', 'بالوانه', 'الجواب', 'عنوانه', 'قدام', 'عينيكي', 'مليش', 'حيله', 'حبيبتي', 'بتتمايل', 'خطوتها', 'بتسوي', 'هوايل', 'حبيبتي', 'بتتمايل', 'خطوتها', 'بتسوي', 'هوايل', 'عامله', 'القلب', 'عمايل', 'ملاك', 'ملاك', 'حبيبتي', 'بتتمايل', 'خطوتها', 'بتسوي', 'هوايل', 'حبيبتي', 'بتتمايل', 'خطوتها', 'بتسوي', 'هوايل', 'حبيبتي', 'بتتمايل', 'خطوتها', 'بتسوي', 'هوايل', 'حبيبتي', 'بتتمايل', 'خطوتها', 'بتسوي', 'هوايل', 'حبيبتي', 'بتتمايل', 'خطوتها', 'بتسوي', 'هوايل', 'حبيبتي', 'بتتمايل', 'خطوتها', 'بتسوي', 'هوايل']",Love,"**Love**

The lyrics are filled with admiration and affection for the beloved. Phrases like ""حبيبتي"" (my love), ""جمالك رباني"" (your beauty is divine), ""بحب اغازلك باغاني"" (I love to flirt with you in songs), and descriptions of her graceful movements all point to a dominant emotion of love."
وعدتك,"['وعدتك', 'اني', 'ابقالك', 'واقدم', 'عمري', 'قلبي', 'وروحي', 'تملي', 'رايحالك', 'وبطمن', 'جنبي', 'وعدتك', 'اني', 'ابقالك', 'واقدم', 'عمري', 'قلبي', 'وروحي', 'تملي', 'رايحالك', 'وبطمن', 'جنبي', 'كفايه', 'احضاني', 'عيونك', 'تبقي', 'ندهاني', 'انا', 'حابب', 'حياتي', 'معاك', 'عايز', 'وعدتك', 'اني', 'ابقالك', 'واقدم', 'عمري', 'قلبي', 'وروحي', 'تملي', 'رايحالك', 'وبطمن', 'جنبي', 'وعدتك', 'اني', 'ابقالك', 'واقدم', 'عمري', 'قلبي', 'وروحي', 'تملي', 'رايحالك', 'وبطمن', 'جنبي', 'كفايه', 'احضاني', 'عيونك', 'تبقي', 'ندهاني', 'انا', 'حابب', 'حياتي', 'معاك', 'عايز', 'حبيبي', 'واغلي', 'عمري', 'اول', 'كلام', 'بينا', 'عرفت', 'اني', 'لقيت', 'عمري', 'وشوفت', 'الدنيا', 'جنه', 'حبيبي', 'واغلي', 'عمري', 'اول', 'كلام', 'بينا', 'عرفت', 'اني', 'لقيت', 'عمري', 'وشوفت', 'الدنيا', 'جنه', 'كفايه', 'احضاني', 'عيونك', 'تبقي', 'ندهاني', 'انا', 'حابب', 'حياتي', 'معاك', 'عايز', 'كفايه', 'احضاني', 'عيونك', 'تبقي', 'ندهاني', 'انا', 'حابب', 'حياتي', 'معاك', 'عايز', 'كفايه', 'احضاني', 'عيونك', 'تبقي', 'ندهاني', 'انا', 'حابب', 'حياتي', 'معاك', 'عايز', 'وعدتك', 'اني', 'ابقالك', 'واقدم', 'عمري', 'قلبي', 'وروحي', 'تملي', 'رايحالك', 'وبطمن', 'جنبي', 'وعدتك', 'اني', 'ابقالك', 'واقدم', 'عمري', 'قلبي', 'وروحي', 'تملي', 'رايحالك', 'وبطمن', 'جنبي', 'كفايه', 'احضاني', 'عيونك', 'تبقي', 'ندهاني', 'انا', 'حابب', 'حياتي', 'معاك', 'عايز', 'وعدتك', 'اني', 'ابقالك', 'واقدم', 'عمري', 'قلبي', 'وروحي', 'تملي', 'رايحالك', 'وبطمن', 'جنبي', 'وعدتك', 'اني', 'ابقالك', 'واقدم', 'عمري', 'قلبي', 'وروحي', 'تملي', 'رايحالك', 'وبطمن', 'جنبي', 'كفايه', 'احضاني', 'عيونك', 'تبقي', 'ندهاني', 'انا', 'حابب', 'حياتي', 'معاك', 'عايز']",Love,"**Love:** The lyrics express deep affection, commitment (""I promised you I'll stay with you""), and happiness (""I love my life with you,"" ""I saw the world as paradise"")."
راجع,"['راجع', 'بتقولي', 'بينا', 'وبتسال', 'كملناش', 'اسال', 'روحك', 'استني', 'ومين', 'استغني', 'وباع', 'ببلاش', 'راجع', 'بتقولي', 'بينا', 'وبتسال', 'كملناش', 'اسال', 'روحك', 'استني', 'ومين', 'استغني', 'وباع', 'ببلاش', 'ردي', 'بقاش', 'هيفيدك', 'ضعت', 'وضيعتني', 'ايدك', 'خساره', 'بتيجي', 'الحاجه', 'الواحد', 'يعوزهاش', 'ردي', 'بقاش', 'هيفيدك', 'ضعت', 'وضيعتني', 'ايدك', 'خساره', 'بتيجي', 'الحاجه', 'الواحد', 'يعوزهاش', 'ناسي', 'كلامك', 'وداعنا', 'قسوه', 'قلبك', 'وعينيك', 'بقولك', 'خليك', 'جنبي', 'اتهزتش', 'وهنت', 'بقي', 'عارف', 'ايه', 'غيرني', 'برئ', 'حنين', 'ملاك', 'هبعد', 'بتفكرني', 'بالجرح', 'انا', 'عشته', 'معاك', 'ردي', 'بقاش', 'هيفيدك', 'ضعت', 'وضيعتني', 'ايدك', 'خساره', 'بتيجي', 'الحاجه', 'الواحد', 'يعوزهاش', 'ردي', 'بقاش', 'هيفيدك', 'ضعت', 'وضيعتني', 'ايدك', 'خساره', 'بتيجي', 'الحاجه', 'الواحد', 'يعوزهاش', 'ردي', 'بقاش', 'هيفيدك', 'ضعت', 'وضيعتني', 'ايدك', 'خساره', 'بتيجي', 'الحاجه', 'الواحد', 'يعوزهاش', 'ردي', 'بقاش', 'هيفيدك', 'ضعت', 'وضيعتني', 'ايدك', 'خساره', 'بتيجي', 'الحاجه', 'الواحد', 'يعوزهاش', 'ردي', 'بقاش', 'هيفيدك', 'ضعت', 'وضيعتني', 'ايدك', 'خساره', 'بتيجي', 'الحاجه', 'الواحد', 'يعوزهاش']",Sadness,"**Sadness and Regret:** The lyrics express a sense of loss, disappointment, and the pain of a past relationship. The singer emphasizes the futility of returning (""ردي بقاش هيفيدك""), the feeling of being lost (""ضعت وضيعتني ايدك""), and the regret that good things are only appreciated when they are gone (""خساره بتيجي الحاجه الواحد يعوزهاش"")."
على حبك,"['علي', 'حبك', 'عندي', 'ميه', 'اثبات', 'شوقي', 'ساعات', 'وبخاف', 'خد', 'كتير', 'وان', 'سيرتك', 'جت', 'بنطق', 'بالخير', 'وطبعك', 'خدت', 'حاجات', 'علي', 'حبك', 'عندي', 'ميه', 'اثبات', 'شوقي', 'ساعات', 'وبخاف', 'خد', 'كتير', 'وان', 'سيرتك', 'جت', 'بنطق', 'بالخير', 'وطبعك', 'خدت', 'حاجات', 'واخبارك', 'التفاصيل', 'احب', 'اسمعها', 'بالتفصيل', 'دام', 'اتفتحت', 'السيره', 'اخد', 'وادي', 'لنص', 'الليل', 'في', 'حبك', 'في', 'جديد', 'توحشني', 'وانت', 'بعيد', 'بالاحساس', 'بنتلاقي', 'مافيش', 'حاجه', 'اسمها', 'مواعيد', 'علي', 'حبك', 'اقولك', 'الكلام', 'هيطول', 'حس', 'انت', 'شوف', 'كلام', 'عادي', 'يتقال', 'للناس', 'وكلام', 'اجمل', 'يتقال', 'احساس', 'بيوصل', 'للقلوب', 'علي', 'طول', 'اقولك', 'الكلام', 'هيطول', 'حس', 'انت', 'شوف', 'في', 'كلام', 'عادي', 'يتقال', 'للناس', 'وكلام', 'اجمل', 'يتقال', 'احساس', 'بيوصل', 'للقلوب', 'علي', 'طول', 'واخبارك', 'التفاصيل', 'احب', 'اسمعها', 'بالتفصيل', 'دام', 'اتفتحت', 'السيره', 'اخد', 'وادي', 'لنص', 'الليل', 'حبك', 'في', 'جديد', 'توحشني', 'وانت', 'بعيد', 'بالاحساس', 'بنتلاقي', 'مافيش', 'حاجه', 'اسمها', 'مواعيد', 'علي', 'حبك', 'عندي', 'ميه', 'اثبات', 'شوقي', 'ساعات', 'وبخاف', 'خد', 'كتير', 'وان', 'سيرتك', 'جت', 'بنطق', 'بالخير', 'وطبعك', 'خدت', 'حاجات', 'علي', 'حبك', 'عندي', 'ميه', 'اثبات', 'شوقي', 'ساعات', 'وبخاف', 'خد', 'كتير', 'وان', 'سيرتك', 'جت', 'بنطق', 'بالخير', 'وطبعك', 'خدت', 'حاجات']",Love,"**Love:** The lyrics express strong affection and longing for the beloved. Phrases like ""علي حبك"" (for your love), ""شوقي ساعات"" (my longing is hours), ""توحشني وانت بعيد"" (I miss you when you're away), and ""كلام اجمل يتقال احساس بيوصل للقلوب"" (the most beautiful words are said, a feeling that reaches the hearts) clearly indicate a dominant emotion of love. The singer wants to hear every detail, misses them when they are apart, and fears that their love is taking too much from them."
أنا وإنت,"['انا', 'وانت', 'اختارنا', 'اننا', 'نبعد', 'خلاص', 'يبقي', 'لازمه', 'يبان', 'ضعفي', 'وضعفك', 'للناس', 'وياريت', 'يجيبلك', 'سيرتي', 'قول', 'حبيبي', 'وانا', 'هثبت', 'ليهم', 'بطريقتي', 'ان', 'الحكايه', 'خلاص', 'عادي', 'اهي', 'خلصت', 'حكايه', 'بتخلص', 'ايه', 'هيجري', 'وايه', 'هينقص', 'احنا', 'كملناش', 'انا', 'هتعود', 'وانت', 'كمان', 'تتعود', 'عمر', 'البعد', 'بيموت', 'دنيا', 'تتعاش', 'انا', 'هفضل', 'حبيبي', 'افتكرك', 'عمري', 'هنساك', 'هنسي', 'الايام', 'الحلوه', 'وياك', 'هتاخدنا', 'الدنيا', 'وهتفرق', 'بينا', 'الليالي', 'انا', 'عايزك', 'عارف', 'ببعد', 'وقلبي', 'معاك', 'عادي', 'اهي', 'خلصت', 'حكايه', 'بتخلص', 'ايه', 'هيجري', 'وايه', 'هينقص', 'احنا', 'كملناش', 'انا', 'هتعود', 'وانت', 'كمان', 'تتعود', 'عمر', 'البعد', 'بيموت', 'دنيا', 'تتعاش', 'عادي', 'اهي', 'خلصت', 'حكايه', 'بتخلص', 'ايه', 'هيجري', 'وايه', 'هينقص', 'احنا', 'كملناش', 'انا', 'هتعود', 'وانت', 'كمان', 'تتعود', 'عمر', 'البعد', 'بيموت', 'دنيا', 'تتعاش', 'عادي', 'اهي', 'خلصت', 'حكايه', 'بتخلص', 'انا', 'هتعود', 'وانت', 'كمان', 'تتعود']",Sadness,"**Sadness/Resignation:** The lyrics express acceptance of a breakup (""it's over,"" ""we didn't last""), an intention to move on (""I will get used to it, and you will too""), and acknowledging the pain of separation (""separation kills""). While there's a hint of nostalgia (""I will remember you""), the overwhelming tone is one of sadness and resigned acceptance."
عمرنا ما هنرجع,"['ايامك', 'عدت', 'ونسيتها', 'وحكايتي', 'معاك', 'انا', 'مليتها', 'وان', 'حاجه', 'انا', 'حبيتها', 'دلوقتي', 'بقيت', 'انا', 'بشوفهاش', 'ايام', 'واتشالت', 'عمري', 'خدتش', 'تعبي', 'اما', 'لقيت', 'راحه', 'قلبي', 'ترضي', 'ارجعلك', 'انا', 'مرضاش', 'عمرنا', 'هنرجع', 'زمان', 'هقدر', 'احبك', 'زمان', 'انت', 'اتعودت', 'تشوفني', 'ملاك', 'انا', 'الاخر', 'انسان', 'عمرنا', 'هنرجع', 'زمان', 'هقدر', 'احبك', 'زمان', 'انت', 'اتعودت', 'تشوفني', 'ملاك', 'انا', 'الاخر', 'انسان', 'هنقول', 'وكنا', 'يعني', 'جنه', 'ليا', 'معاك', 'ايام', 'حلوه', 'الايام', 'الصعبه', 'كتير', 'حاجات', 'حياتنا', 'بنعيدها', 'ينفع', 'نجددها', 'ايام', 'بقي', 'صعب', 'نعوضها', 'فرق', 'الاحساس', 'دلوقتي', 'كبير', 'عمرنا', 'هنرجع', 'زمان', 'هقدر', 'احبك', 'زمان', 'انت', 'اتعودت', 'تشوفني', 'ملاك', 'انا', 'الاخر', 'انسان', 'عمرنا', 'هنرجع', 'زمان', 'هقدر', 'احبك', 'زمان', 'انت', 'اتعودت', 'تشوفني', 'ملاك', 'انا', 'الاخر', 'انسان', 'عمرنا', 'هنرجع', 'زمان', 'هقدر', 'احبك', 'زمان', 'انت', 'اتعودت', 'تشوفني', 'ملاك', 'انا', 'الاخر', 'انسان', 'عمرنا', 'هنرجع', 'زمان', 'هقدر', 'احبك', 'زمان', 'انت', 'اتعودت', 'تشوفني', 'ملاك', 'انا', 'الاخر', 'انسان', 'عمرنا', 'هنرجع', 'زمان', 'هقدر', 'احبك', 'زمان', 'انت', 'اتعودت', 'تشوفني', 'ملاك', 'انا', 'الاخر', 'انسان']",Love,"**Resignation/Acceptance**

The lyrics express moving on from a past relationship. The speaker acknowledges good times but emphasizes that the difficult times were many and that trying to recreate the past or how things were is impossible. There is an acceptance of the fact that they can't go back to how things were. The repeated line ""عمرنا هنرجع زمان هقدر احبك زمان"" (""We will never go back to the old days, I can't love you like before"") strongly reinforces this sentiment."
ذكريات,"['دوامه', 'الحياه', 'قلبي', 'تاه', 'ماشي', 'اتجاه', 'ذكريات', 'عشنا', 'دوبنا', 'العذاب', 'ذكريات', 'ماضينا', 'باقيه', 'سراب', 'ذكريات', 'الطريق', 'كتير', 'مشينا', 'واتنسينا', 'الطريق', 'وانتهينا', 'ماعادش', 'شئ', 'بريء', 'الطريق', 'كتير', 'مشينا', 'واتنسينا', 'الطريق', 'وانتهينا', 'ماعادش', 'شئ', 'بريء', 'ذكريات', 'عشنا', 'دوبنا', 'العذاب', 'ذكريات', 'ماضينا', 'باقيه', 'سراب', 'ذكريات', 'الطريق', 'قلوب', 'بريئه', 'قلوب', 'غريقه', 'الطريق', 'والحقيقه', 'حقيقه', 'الطريق', 'قلوب', 'بريئه', 'قلوب', 'غريقه', 'الطريق', 'والحقيقه', 'حقيقه', 'ذكريات', 'عشنا', 'دوبنا', 'العذاب', 'ذكريات', 'ماضينا', 'باقيه', 'سراب', 'ذكريات']",Sadness,"Sadness: The lyrics express a sense of being lost (""قلبي تاه""), enduring suffering (""دوبنا العذاب""), dwelling on fading memories (""ذكريات باقيه سراب""), and a loss of innocence (""ماعادش شئ بريء"")."
الحب إبتدى,"['حكايتنا', 'روح', 'قلبي', 'حكايه', 'ومفيش', 'للشوق', 'نهايه', 'اول', 'ندا', 'الحب', 'ابتدي', 'عمري', 'عشقت', 'انا', 'بالشكل', 'اول', 'ندا', 'الحب', 'ابتدي', 'عمري', 'عشقت', 'انا', 'بالشكل', 'لقيتك', 'ويايا', 'حكايتنا', 'روح', 'قلبي', 'حكايه', 'ومفيش', 'للشوق', 'نهايه', 'وقابلت', 'كتير', 'قبلك', 'وقليل', 'مره', 'الشوق', 'سهرني', 'الليل', 'وقابلت', 'كتير', 'قبلك', 'وقليل', 'مره', 'الشوق', 'سهرني', 'الليل', 'شفتك', 'ونسيت', 'روحي', 'وحبيت', 'شفتك', 'ونسيت', 'روحي', 'وحبيت', 'علمني', 'هواكي', 'غنا', 'المواويل', 'اول', 'ندا', 'الحب', 'ابتدي', 'عمري', 'عشقت', 'انا', 'بالشكل', 'اول', 'ندا', 'الحب', 'ابتدي', 'عمري', 'عشقت', 'انا', 'بالشكل', 'لقيتك', 'ويايا', 'حكايتنا', 'روح', 'قلبي', 'حكايه', 'ومفيش', 'للشوق', 'نهايه', 'حكايتنا', 'روح', 'قلبي', 'حكايه', 'ومفيش', 'للشوق', 'نهايه']",Love,"**Love**

The lyrics express a deep affection and longing. Words like ""روح قلبي"" (soul of my heart), ""عشقت"" (I loved), ""الحب"" (love), and ""الشوق"" (longing) clearly indicate a dominant feeling of love and passionate desire."
قلوب,"['قلوب', 'قلوب', 'وايدين', 'ايدين', 'قلوب', 'قلوب', 'وايدين', 'ايدين', 'ادي', 'ايامنا', 'وادي', 'سكتنا', 'وياما', 'ايام', 'كتير', 'جاين', 'ادي', 'ايامنا', 'وادي', 'سكتنا', 'وياما', 'ايام', 'كتير', 'جاين', 'قلوب', 'قلوب', 'وايدين', 'ايدين', 'قلوب', 'قلوب', 'وايدين', 'ايدين', 'ادي', 'ايامنا', 'وادي', 'سكتنا', 'وياما', 'ايام', 'كتير', 'جاين', 'ادي', 'ايامنا', 'وادي', 'سكتنا', 'وياما', 'ايام', 'كتير', 'جاين', 'قلوب', 'قلوب', 'وايدين', 'ايدين', 'قلوب', 'قلوب', 'وايدين', 'ايدين']",Mixed,"Hope. The repetition of ""hearts,"" ""hands,"" and the promise of ""many days coming"" suggests a hopeful outlook on the future and unity."
يا عمرنا,"['تعبنا', 'ودوبنا', 'تعبنا', 'ودوبنا', 'تعبنا', 'ودوبنا', 'تعبنا', 'ودوبنا', 'البعد', 'وانا', 'ليا', 'عمرنا', 'قلبنا', 'انا', 'ليا', 'انا', 'ليا', 'ازاي', 'هننسي', 'عمرنا', 'شئ', 'بيجري', 'دمنا', 'ياقلبنا', 'وازاي', 'هننسي', 'عمرنا', 'شئ', 'بيجري', 'دمنا', 'ياقلبنا', 'افترقنا', 'وطال', 'فراقنا', 'راجعين', 'بشوقنا', 'تعبنا', 'ودوبنا', 'تعبنا', 'ودوبنا', 'تعبنا', 'ودوبنا', 'تعبنا', 'ودوبنا', 'البعد', 'وانا', 'ليا', 'ياعمرنا', 'ياقلبنا', 'انا', 'ليا', 'انا', 'ليا', 'عمر', 'بينا', 'انتهي', 'عمرنا', 'عمري', 'عيشته', 'حبها', 'قلبنا', 'عمر', 'بينا', 'انتهي', 'عمرنا', 'عمري', 'عيشته', 'حبها', 'قلبنا', 'سنين', 'حياتنا', 'ذكرياتنا', 'امنياتنا', 'تعبنا', 'ودوبنا', 'تعبنا', 'ودوبنا', 'تعبنا', 'ودوبنا', 'تعبنا', 'ودوبنا', 'البعد', 'وانا', 'ليا', 'عمرنا', 'قلبنا', 'انا', 'ليا', 'انا', 'ليا', 'عمرنا', 'قلبنا', 'وانا', 'ليا', 'انا', 'ليا']",Sadness,"**Sadness/Longing**

The lyrics express weariness and being consumed (""تعبنا ودوبنا""), separation (""افترقنا""), a long absence (""طال فراقنا""), and questions about forgetting (""ازاي هننسي""). The repetition emphasizes the pain and difficulty of the situation, pointing towards sadness and a longing to return to what was lost."
